| Location | File | Line | pCloud Reference | Purpose |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3081 | `onChange={(e) => setPcloudImageInput(e.target.value)}` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3085 | `const trimmed = pcloudImageInput.trim();` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3086 | `if (trimmed && !form.pcloudImageUrls.includes(trimmed)) {` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3087 | `handleChange('pcloudImageUrls', [...form.pcloudImageUrls, trimmed]);` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3088 | `setPcloudImageInput('');` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3097 | `const trimmed = pcloudImageInput.trim();` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3098 | `if (trimmed && !form.pcloudImageUrls.includes(trimmed)) {` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3099 | `handleChange('pcloudImageUrls', [...form.pcloudImageUrls, trimmed]);` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3100 | `setPcloudImageInput('');` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3108 | `{form.pcloudImageUrls.length === 0 && (` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3111 | `{form.pcloudImageUrls.length > 0 && (` | Unknown |
| src | frontend/src/pages/admin/ProductsManagement.jsx | 3112 | `<p className="text-[9px] text-[#8E6AA8] mt-2">{form.pcloudImageUrls.length} image{form.pcloudImageUrls.length > 1 ? 's' : ''} added — displayed in marketplace gallery.</p>` | Unknown |
| src | frontend/src/pages/customer/Downloads.jsx | 35 | `function DownloadButton({ productName, variant = 'primary', downloadUrl, productId, downloadAvailable, pcloudDownloadLink }) {` | pCloud download link metadata/reference field |
| src | frontend/src/pages/customer/Downloads.jsx | 41 | `// ── Fast path: pCloud link → open instantly, no API round-trip ────────────` | Unknown |
| src | frontend/src/pages/customer/Downloads.jsx | 42 | `if (pcloudDownloadLink) {` | pCloud download link metadata/reference field |
| src | frontend/src/pages/customer/Downloads.jsx | 43 | `window.open(pcloudDownloadLink, '_blank');` | pCloud download link metadata/reference field |
| src | frontend/src/pages/customer/Downloads.jsx | 66 | `// Handle pCloud / external redirect (temporary dev/testing implementation)` | Customer download redirection to pCloud |
| src | frontend/src/pages/customer/Downloads.jsx | 279 | `pcloud_download_link: prod?.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/pages/customer/Downloads.jsx | 309 | `pcloud_download_link: p.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/pages/customer/Downloads.jsx | 668 | `<DownloadButton productName={product.name} variant="primary" downloadUrl={product.downloadUrl} productId={product.id} pcloudDownloadLink={product.pcloud_download_link} />` | pCloud download link metadata/reference field |
| src | frontend/src/pages/customer/Downloads.jsx | 729 | `// ── Fast path: open pCloud link instantly, no API needed ─────────────────` | Unknown |
| src | frontend/src/pages/customer/Downloads.jsx | 730 | `const quickUrl = product.pcloud_download_link \|\| product.downloadUrl;` | pCloud download link metadata/reference field |
| src | frontend/src/pages/customer/Downloads.jsx | 731 | `if (quickUrl && (quickUrl.includes('pcloud') \|\| quickUrl.includes('publink'))) {` | pCloud direct image URL / folder link fetching |
| src | frontend/src/pages/customer/Downloads.jsx | 736 | `// ── Fallback: resolve via backend for non-pCloud products ─────────────────` | Unknown |
| src | frontend/src/pages/customer/Downloads.jsx | 901 | `<DownloadButton productName={product.name} variant="primary" downloadUrl={product.downloadUrl} productId={product.id} pcloudDownloadLink={product.pcloud_download_link} />` | pCloud download link metadata/reference field |
| src | frontend/src/pages/marketplace/Downloads.jsx | 111 | `const externalLink = product.pcloud_download_link \|\| product.file_url;` | pCloud download link metadata/reference field |
| src | frontend/src/pages/marketplace/Downloads.jsx | 137 | `// Handle pCloud / external redirect` | Customer download redirection to pCloud |
| src | frontend/src/pages/marketplace/Downloads.jsx | 307 | `{isDownloading ? 'Preparing…' : (p.pcloud_download_link \|\| p.file_url ? 'Open' : 'Download')}` | pCloud download link metadata/reference field |
| src | frontend/src/pages/marketplace/Home.jsx | 195 | `// ── Pin the real pCloud products ALWAYS first ────────────────────────────` | Sorting/pinning pCloud products on Home screen |
| src | frontend/src/pages/marketplace/Home.jsx | 196 | `// These are the products you assigned pCloud folders to. They must always` | Sorting/pinning pCloud products on Home screen |
| src | frontend/src/pages/marketplace/Home.jsx | 204 | `// Featured always shows the pinned pCloud products (up to first 8).` | Sorting/pinning pCloud products on Home screen |
| src | frontend/src/pages/marketplace/ProductPage.jsx | 35 | `// Prefer explicitly stored pCloud/external image URLs (image_urls column)` | Unknown |
| src | frontend/src/pages/marketplace/ProductPage.jsx | 36 | `const pcloudImages = Array.isArray(product.image_urls \|\| product.imageUrls)` | Unknown |
| src | frontend/src/pages/marketplace/ProductPage.jsx | 44 | `// Build the full gallery pool — pCloud images take priority over preview/thumbnail` | Unknown |
| src | frontend/src/pages/marketplace/ProductPage.jsx | 45 | `const allGallery = pcloudImages.length > 0 ? pcloudImages : extraImages;` | Unknown |
| src | frontend/src/pages/marketplace/ProductPage.jsx | 179 | `pcloud_download_link: data.pcloud_download_link \|\| null` | pCloud download link metadata/reference field |
| src | frontend/src/pages/marketplace/Products.jsx | 394 | `// Prefer explicitly stored pCloud/external image URLs (image_urls column)` | Unknown |
| src | frontend/src/pages/marketplace/Products.jsx | 395 | `const pcloudImages = Array.isArray(product.image_urls \|\| product.imageUrls)` | Unknown |
| src | frontend/src/pages/marketplace/Products.jsx | 399 | `if (pcloudImages.length > 0) {` | Unknown |
| src | frontend/src/pages/marketplace/Products.jsx | 400 | `return [preview, ...pcloudImages.filter(img => img !== preview)];` | Unknown |
| src | frontend/src/pages/marketplace/Success.jsx | 265 | `- If external (pCloud), opens in new tab.` | Unknown |
| src | frontend/src/services/ecosystemService.js | 77 | `// Prefer pCloud download link, then file_url/fileUrl — all are set by enrichRawProducts() spread.` | Unknown |
| src | frontend/src/services/ecosystemService.js | 81 | `const fileUrl = item.pcloud_download_link \|\| item.pcloudDownloadLink \|\|` | pCloud download link metadata/reference field |
| src | frontend/src/services/productService.js | 110 | `pcloud_download_link: data.pcloud_download_link \|\| data.pcloudDownloadLink \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/services/productService.js | 111 | `pcloudDownloadLink: data.pcloudDownloadLink \|\| data.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/services/productService.js | 162 | `pcloud_download_link: data.pcloud_download_link \|\| data.pcloudDownloadLink \|\| null,` | pCloud download link metadata/reference field |
| src | frontend/src/services/productService.js | 163 | `pcloudDownloadLink: data.pcloudDownloadLink \|\| data.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
| src | admin-app/src/services/productService.js | 110 | `pcloud_download_link: data.pcloud_download_link \|\| data.pcloudDownloadLink \|\| null,` | pCloud download link metadata/reference field |
| src | admin-app/src/services/productService.js | 111 | `pcloudDownloadLink: data.pcloudDownloadLink \|\| data.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
| src | admin-app/src/services/productService.js | 162 | `pcloud_download_link: data.pcloud_download_link \|\| data.pcloudDownloadLink \|\| null,` | pCloud download link metadata/reference field |
| src | admin-app/src/services/productService.js | 163 | `pcloudDownloadLink: data.pcloudDownloadLink \|\| data.pcloud_download_link \|\| null,` | pCloud download link metadata/reference field |
